actor_1_facebook_likes,actor_1_name,actor_2_facebook_likes,actor_2_name,actor_3_facebook_likes,actor_3_name,aspect_ratio,budget,cast_total_facebook_likes,color,content_rating,country,director_facebook_likes,director_name,facenumber_in_poster,genres,gross,imdb_score,language,movie_facebook_likes,movie_title,num_critic_for_reviews,num_user_for_reviews,num_voted_users,overview,plot_keywords,popularity,production_companies,runtime,title_year,return_rate,if_profit,total_fb_likes
1000,CCH Pounder,936,Joel David Moore,855,Wes Studi,1.78,237,4834,Color,PG-13,USA,0,James Cameron,0,Action,760.505847,7.9,English,33000,Avatar,723,3054,886204,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",avatar|future|marine|native|paraplegic,150.437577,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",162,2009,2.208885430379747,1,40625
40000,Johnny Depp,5000,Orlando Bloom,1000,Jack Davenport,2.35,300,48350,Color,PG-13,USA,563,Gore Verbinski,0,Action,309.404152,7.1,English,0,Pirates of the Caribbean: At World's End,302,1238,471220,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",goddess|marriage ceremony|marriage proposal|pirate|singapore,139.082615,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",169,2007,0.03134717333333348,1,94913
11000,Christoph Waltz,393,Rory Kinnear,161,Stephanie Sigman,2.35,245,11700,Color,PG-13,UK,0,Sam Mendes,1,Action,200.074175,6.8,English,85000,Spectre,602,994,275868,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",bomb|espionage|sequel|spy|terrorist,107.376788,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Danjaq"", ""id"": 10761}, {""name"": ""B24"", ""id"": 69434}]",148,2015,-0.18337071428571428,0,108254
27000,Tom Hardy,23000,Christian Bale,23000,Joseph Gordon-Levitt,2.35,250,106759,Color,PG-13,USA,22000,Christopher Nolan,0,Action,448.130642,8.5,English,164000,The Dark Knight Rises,813,2701,1144337,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",deception|imprisonment|lawlessness|police officer|terrorist plot,112.31295,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]",165,2012,0.7925225680000001,1,365759
640,Daryl Sabara,632,Samantha Morton,530,Polly Walker,2.35,263.7,1873,Color,PG-13,USA,475,Andrew Stanton,1,Action,73.058679,6.6,English,24000,John Carter,462,738,212204,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",alien|american civil war|male nipple|mars|princess,43.926995,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",132,2012,-0.722947747440273,0,28150
24000,J.K. Simmons,11000,James Franco,4000,Kirsten Dunst,2.35,258,46055,Color,PG-13,USA,0,Sam Raimi,0,Action,336.530303,6.2,English,0,Spider-Man 3,392,1902,383056,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",sandman|spider man|symbiote|venom|villain,115.699814,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",139,2007,0.3043810193798451,1,85055
799,Brad Garrett,553,Donna Murphy,284,M.C. Gainey,1.85,260,2036,Color,PG,USA,15,Nathan Greno,1,Adventure,200.807262,7.8,English,29000,Tangled,324,387,294810,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",17th century|based on fairy tale|disney|flower|tower,48.681969,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]",100,2010,-0.22766437692307684,0,32687
26000,Chris Hemsworth,21000,Robert Downey Jr.,19000,Scarlett Johansson,2.35,250,92000,Color,PG-13,USA,0,Joss Whedon,4,Action,458.991599,7.5,English,118000,Avengers: Age of Ultron,635,1117,462669,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,134.279229,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",141,2015,0.8359663960000001,1,276000
25000,Alan Rickman,11000,Daniel Radcliffe,10000,Rupert Grint,2.35,250,58753,Color,PG,UK,282,David Yates,3,Adventure,301.95698,7.5,English,10000,Harry Potter and the Half-Blood Prince,375,973,321795,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",blood|book|love|potion|professor,98.885637,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]",153,2009,0.20782791999999994,1,115035
15000,Henry Cavill,4000,Lauren Cohan,2000,Alan D. Purwin,2.35,250,24450,Color,PG-13,USA,0,Zack Snyder,0,Action,330.249062,6.9,English,197000,Batman v Superman: Dawn of Justice,673,3018,371639,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",based on comic book|batman|sequel to a reboot|superhero|superman,155.790452,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Cruel & Unusual Films"", ""id"": 9995}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",151,2016,0.32099624799999993,1,242450
18000,Kevin Spacey,10000,Marlon Brando,903,Frank Langella,2.35,209,29991,Color,PG-13,USA,0,Bryan Singer,0,Action,200.069408,6.1,English,0,Superman Returns,434,2367,240396,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",crystal|epic|lex luthor|lois lane|return to earth,57.925623,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}]",154,2006,-0.0427301052631579,0,58894
